,CARRIER_DETAIL,ON_TIME,DELAYED,CANCELLED,DIVERTED,ARRIVAL_DELAY_TOTAL,DIVERSION_DELAY_TOTAL,ALL_FLIGHTS,TOTAL_DELAY,DEL_DIV,DEL_DIV_AVG,UNRELIABLE_ADJ,ALL_FLIGHTS_ADJ,ALL_FLIGHTS_ADJ_PERC,ON_TIME_PERC,DELAYED_PERC,CANCELLED_PERC,DIVERTED_PERC,UNRELIABLE_ADJ_PERC
0,Alaska Airlines Inc.,5474,1597,153.0,33.0,99919.0,4386.0,7257.0,104305.0,1630.0,63.99079754601227,2089.0,7563.0,0.27621314293269866,0.7543061871296679,0.2200633870745487,0.02108309218685407,0.0045473336089293095,0.27621314293269866
1,Allegiant Air,799,425,29.0,2.0,35643.0,399.0,1255.0,36042.0,427.0,84.40749414519907,514.0,1313.0,0.39146991622239147,0.6366533864541832,0.3386454183266932,0.023107569721115537,0.0015936254980079682,0.39146991622239147
2,American Airlines Inc.,132897,34604,5090.0,401.0,2489858.0,115232.0,172992.0,2605090.0,35005.0,74.42051135552065,50275.0,183172.0,0.27446880527591555,0.7682262763596004,0.20003237143914168,0.029423325934147242,0.002318026267110618,0.27446880527591555
3,Delta Air Lines Inc.,46788,9073,1384.0,77.0,746343.0,21500.0,57322.0,767843.0,9150.0,83.91726775956285,13302.0,60090.0,0.22136794807788318,0.8162311154530547,0.15828128816161335,0.02414430759568752,0.0013432887896444646,0.22136794807788318
4,Frontier Airlines Inc.,4040,1558,154.0,10.0,130749.0,2234.0,5762.0,132983.0,1568.0,84.81058673469387,2030.0,6070.0,0.3344316309719934,0.7011454356126345,0.2703922249219021,0.02672683096147171,0.0017355085039916696,0.3344316309719934
5,JetBlue Airways,13824,5042,638.0,62.0,415250.0,14032.0,19566.0,429282.0,5104.0,84.1069749216301,7018.0,20842.0,0.3367239228480952,0.7065317387304508,0.2576919145456404,0.032607584585505466,0.003168762138403353,0.3367239228480952
6,Southwest Airlines Co.,106168,43336,4061.0,324.0,2239185.0,60397.0,153889.0,2299582.0,43660.0,52.67022446174988,55843.0,162011.0,0.3446864719062286,0.6898998628881856,0.28160557284796184,0.026389150621551897,0.0021054136423006194,0.3446864719062286
7,Spirit Air Lines,8399,2718,251.0,32.0,211459.0,6555.0,11400.0,218014.0,2750.0,79.27781818181818,3503.0,11902.0,0.2943202823054949,0.7367543859649123,0.23842105263157895,0.022017543859649123,0.002807017543859649,0.2943202823054949
8,United Air Lines Inc.,111337,27007,3573.0,318.0,2080319.0,92564.0,142235.0,2172883.0,27325.0,79.51996340347667,38044.0,149381.0,0.2546776363794592,0.7827679544415931,0.18987590958624811,0.025120399339121875,0.0022357366330368754,0.2546776363794592
